configuration_number,threshold,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc
3,0.53,0.7687587168758717,0.42720897615708275,0.10375130569053999,0.16695594979262968,0.6492821417431146
3,0.54,0.7710561683783441,0.4378238341968912,0.08826468050320178,0.14691208708141204,0.6492821417431146
3,0.55,0.7725776594395841,0.4456021650879567,0.07477632953358464,0.12806253402815587,0.6492821417431146
3,0.56,0.7738607835678966,0.4550644266840646,0.06335437576638357,0.11122406266818155,0.6492821417431146
3,0.57,0.7747686065677698,0.46296296296296297,0.05279531313865298,0.09478189971463515,0.6492821417431146
3,0.58,0.7753569164447826,0.4687194525904203,0.043553294881693086,0.07970081030542281,0.6492821417431146
3,0.59,0.7758691517687334,0.4762924441725298,0.035355829056723735,0.06582535354175915,0.6492821417431146
3,0.6,0.7763712438189425,0.4891891891891892,0.02877060720287025,0.05434502873809728,0.6492821417431146
3,0.61,0.776589324204387,0.496777392166584,0.02275307688814206,0.043513190750189994,0.6492821417431146
3,0.62,0.7767516165842525,0.5062050947093403,0.017598437712884326,0.034014351862011453,0.6492821417431146
3,0.63,0.776741473310511,0.5074106364428945,0.013215859030837005,0.02576076131459555,0.6492821417431146
3,0.64,0.7768074045898313,0.5178997613365155,0.009855125119215224,0.019342187360727337,0.6492821417431146
3,0.65,0.7769139089641182,0.5424292845257903,0.0074026976701939235,0.014606061963753669,0.6492821417431146
3,0.66,0.7769392671484722,0.5686274509803921,0.005268177483082792,0.010439634612788552,0.6492821417431146
3,0.67,0.7769088373272474,0.5939849624060151,0.0035878105272719014,0.007132538822679667,0.6492821417431146
3,0.68,0.7768631925954101,0.6171428571428571,0.0024524274490213,0.004885440933662045,0.6492821417431146
3,0.69,0.7767617598579941,0.5867768595041323,0.0016122439711158546,0.003215652528363414,0.6492821417431146
3,0.7,0.7767364016736402,0.6081081081081081,0.0010218447704255416,0.002040261153427639,0.6492821417431146
3,0.71,0.7767364016736402,0.7,0.000635814523820337,0.0012704750669268116,0.6492821417431146
3,0.72,0.7767262583998986,0.7916666666666666,0.00043144556973522864,0.0008624211338568381,0.6492821417431146
3,0.73,0.7766755420311906,0.6666666666666666,0.0001816612925200963,0.00036322360953461975,0.6492821417431146
3,0.74,0.7766755420311906,1.0,9.083064626004814e-05,0.00018164479360610326,0.6492821417431146
3,0.75,0.7766603271205782,1.0,2.2707661565012036e-05,4.54142918776539e-05,0.6492821417431146
3,0.76,0.7766552554837074,0.0,0.0,0.0,0.6492821417431146
3,0.77,0.7766552554837074,0.0,0.0,0.0,0.6492821417431146
3,0.78,0.7766552554837074,0.0,0.0,0.0,0.6492821417431146
3,0.79,0.7766552554837074,0.0,0.0,0.0,0.6492821417431146
3,0.8,0.7766552554837074,0.0,0.0,0.0,0.6492821417431146
